EmployeeID,Department,JobRole,Age,Gender,YearsAtCompany,MonthlySalary,PerformanceRating,Attrition_Prob,Risk,Satisfaction,WorkLifeBalance,Engagement_Score,Gap_Count,Skill_Gap,Top_Recommendation,Training_Duration,Skill_Gap_Str
84,Finance,Auditor,51,Female,4,103550,3,0.2865,LOW,3.02,2.99,2.94,1433,"['Microsoft Power BI', 'Brihzon Solutions SMART Dairy Resource Planning', 'TechHackers Swap @nalyst', 'Unger Software Methusaleh', 'Computer integrated manufacturing CIM software']",Git Version Control,1 week,"Microsoft Power BI, Brihzon Solutions SMART Dairy Resource Planning, TechHackers Swap @nalyst"
85,Sales,Sales Executive,31,Other,5,145121,2,0.7383,HIGH,3.02,2.99,2.94,670,"['Astute Solutions PowerCenter', 'MI-Assistant MI Management System', 'General Magic Portico', 'Sawtooth SSI Web', 'Electronic medical record EMR software']",PowerPoint Presentations,1 week,"Astute Solutions PowerCenter, MI-Assistant MI Management System, General Magic Portico"
86,Sales,Sales Executive,54,Male,8,152976,3,0.1159,LOW,3.02,2.99,2.94,670,"['Astute Solutions PowerCenter', 'MI-Assistant MI Management System', 'General Magic Portico', 'Sawtooth SSI Web', 'Electronic medical record EMR software']",PowerPoint Presentations,1 week,"Astute Solutions PowerCenter, MI-Assistant MI Management System, General Magic Portico"
87,Support,Support Engineer,44,Male,5,43063,3,0.0511,LOW,3.02,2.99,2.94,400,"['Delivery operations information system DOIS', 'Electronic medical record EMR software', 'StataCorp Stata', 'HVAC tools software', 'Evernote']",PowerPoint Presentations,1 week,"Delivery operations information system DOIS, Electronic medical record EMR software, StataCorp Stata"
88,Marketing,Content Lead,30,Male,12,33987,4,0.4147,MEDIUM,3.02,2.99,2.94,174,"['Oracle Java', 'Video production software', 'Mentimeter', 'JavaScript', 'Marketo Marketing Automation']",PowerPoint Presentations,1 week,"Oracle Java, Video production software, Mentimeter"
89,Marketing,SEO Analyst,44,Female,11,145588,3,0.5862,MEDIUM,3.02,2.99,2.94,175,"['Oracle Java', 'Video production software', 'Mentimeter', 'JavaScript', 'Microsoft Excel']",PowerPoint Presentations,1 week,"Oracle Java, Video production software, Mentimeter"
90,Finance,Auditor,32,Other,2,43235,3,0.58,MEDIUM,3.02,2.99,2.94,1432,"['Microsoft Power BI', 'Brihzon Solutions SMART Dairy Resource Planning', 'TechHackers Swap @nalyst', 'Unger Software Methusaleh', 'Computer integrated manufacturing CIM software']",Git Version Control,1 week,"Microsoft Power BI, Brihzon Solutions SMART Dairy Resource Planning, TechHackers Swap @nalyst"
91,IT,Tester,60,Other,4,56904,3,0.6663,HIGH,3.02,2.99,2.94,2494,"['Oxford Reference Online', 'Microsoft Power BI', 'XML Path Language XPATH', 'Teradata Active Enterprise Data Warehouse', 'BitWizard B.V. mtr']",Git Version Control,1 week,"Oxford Reference Online, Microsoft Power BI, XML Path Language XPATH"
92,Finance,Accountant,26,Female,2,62833,5,0.0569,LOW,3.02,2.99,2.94,1435,"['Microsoft Power BI', 'Brihzon Solutions SMART Dairy Resource Planning', 'TechHackers Swap @nalyst', 'Unger Software Methusaleh', 'Computer integrated manufacturing CIM software']",Git Version Control,1 week,"Microsoft Power BI, Brihzon Solutions SMART Dairy Resource Planning, TechHackers Swap @nalyst"
93,Sales,Account Manager,22,Other,4,133108,3,0.0692,LOW,3.02,2.99,2.94,670,"['Astute Solutions PowerCenter', 'MI-Assistant MI Management System', 'General Magic Portico', 'Sawtooth SSI Web', 'Electronic medical record EMR software']",PowerPoint Presentations,1 week,"Astute Solutions PowerCenter, MI-Assistant MI Management System, General Magic Portico"
94,Support,Helpdesk,35,Male,5,65954,3,0.1663,LOW,3.02,2.99,2.94,399,"['Delivery operations information system DOIS', 'Electronic medical record EMR software', 'StataCorp Stata', 'HVAC tools software', 'Evernote']",PowerPoint Presentations,1 week,"Delivery operations information system DOIS, Electronic medical record EMR software, StataCorp Stata"
95,Support,Support Engineer,58,Female,7,99805,4,0.0679,LOW,3.02,2.99,2.94,399,"['Delivery operations information system DOIS', 'Electronic medical record EMR software', 'StataCorp Stata', 'HVAC tools software', 'Evernote']",PowerPoint Presentations,1 week,"Delivery operations information system DOIS, Electronic medical record EMR software, StataCorp Stata"
96,Marketing,Content Lead,43,Female,14,156104,3,0.0646,LOW,3.02,2.99,2.94,175,"['Oracle Java', 'Video production software', 'Mentimeter', 'JavaScript', 'Marketo Marketing Automation']",PowerPoint Presentations,1 week,"Oracle Java, Video production software, Mentimeter"
97,HR,HR Manager,34,Female,3,115105,3,0.4987,MEDIUM,3.02,2.99,2.94,396,"['Bond International Software Bond StaffSuite', 'SAP ERP Human Capital Management', 'Google Calendar', 'Mentimeter', 'Cluen executive recruitment software']",PowerPoint Presentations,1 week,"Bond International Software Bond StaffSuite, SAP ERP Human Capital Management, Google Calendar"
98,Marketing,Content Lead,52,Female,10,77462,3,0.5009,MEDIUM,3.02,2.99,2.94,174,"['Oracle Java', 'Video production software', 'Mentimeter', 'JavaScript', 'Marketo Marketing Automation']",PowerPoint Presentations,1 week,"Oracle Java, Video production software, Mentimeter"
99,HR,HR Executive,58,Female,12,136059,4,0.0705,LOW,3.02,2.99,2.94,397,"['Bond International Software Bond StaffSuite', 'SAP ERP Human Capital Management', 'Google Calendar', 'Mentimeter', 'Cluen executive recruitment software']",PowerPoint Presentations,1 week,"Bond International Software Bond StaffSuite, SAP ERP Human Capital Management, Google Calendar"
100,Sales,Account Manager,29,Male,6,152981,3,0.0493,LOW,3.02,2.99,2.94,669,"['Astute Solutions PowerCenter', 'MI-Assistant MI Management System', 'General Magic Portico', 'Sawtooth SSI Web', 'Electronic medical record EMR software']",PowerPoint Presentations,1 week,"Astute Solutions PowerCenter, MI-Assistant MI Management System, General Magic Portico"
101,HR,HR Manager,43,Other,11,107081,3,0.6498,HIGH,3.02,2.99,2.94,398,"['Bond International Software Bond StaffSuite', 'SAP ERP Human Capital Management', 'Google Calendar', 'Mentimeter', 'Cluen executive recruitment software']",PowerPoint Presentations,1 week,"Bond International Software Bond StaffSuite, SAP ERP Human Capital Management, Google Calendar"
102,HR,HR Executive,30,Female,14,172259,5,0.5115,MEDIUM,3.02,2.99,2.94,397,"['Bond International Software Bond StaffSuite', 'SAP ERP Human Capital Management', 'Google Calendar', 'Mentimeter', 'Cluen executive recruitment software']",PowerPoint Presentations,1 week,"Bond International Software Bond StaffSuite, SAP ERP Human Capital Management, Google Calendar"
103,Sales,Account Manager,51,Female,11,50979,4,0.4852,MEDIUM,3.02,2.99,2.94,671,"['Astute Solutions PowerCenter', 'MI-Assistant MI Management System', 'General Magic Portico', 'Sawtooth SSI Web', 'Electronic medical record EMR software']",PowerPoint Presentations,1 week,"Astute Solutions PowerCenter, MI-Assistant MI Management System, General Magic Portico"
104,Support,Support Engineer,27,Female,9,98130,4,0.0935,LOW,3.02,2.99,2.94,400,"['Delivery operations information system DOIS', 'Electronic medical record EMR software', 'StataCorp Stata', 'HVAC tools software', 'Evernote']",PowerPoint Presentations,1 week,"Delivery operations information system DOIS, Electronic medical record EMR software, StataCorp Stata"
105,Marketing,SEO Analyst,59,Other,7,117953,3,0.5688,MEDIUM,3.02,2.99,2.94,176,"['Oracle Java', 'Video production software', 'Mentimeter', 'JavaScript', 'Microsoft Excel']",PowerPoint Presentations,1 week,"Oracle Java, Video production software, Mentimeter"
106,Finance,Accountant,31,Female,7,149459,2,0.7691,HIGH,3.02,2.99,2.94,1433,"['Microsoft Power BI', 'Brihzon Solutions SMART Dairy Resource Planning', 'TechHackers Swap @nalyst', 'Unger Software Methusaleh', 'Computer integrated manufacturing CIM software']",Git Version Control,1 week,"Microsoft Power BI, Brihzon Solutions SMART Dairy Resource Planning, TechHackers Swap @nalyst"
107,IT,Developer,33,Other,13,68241,5,0.0778,LOW,3.02,2.99,2.94,2493,"['Oxford Reference Online', 'Microsoft Power BI', 'XML Path Language XPATH', 'Teradata Active Enterprise Data Warehouse', 'BitWizard B.V. mtr']",Git Version Control,1 week,"Oxford Reference Online, Microsoft Power BI, XML Path Language XPATH"
108,HR,HR Executive,51,Female,7,47360,4,0.1056,LOW,3.02,2.99,2.94,397,"['Bond International Software Bond StaffSuite', 'SAP ERP Human Capital Management', 'Google Calendar', 'Mentimeter', 'Cluen executive recruitment software']",PowerPoint Presentations,1 week,"Bond International Software Bond StaffSuite, SAP ERP Human Capital Management, Google Calendar"
109,Support,Support Engineer,49,Other,7,126122,4,0.0695,LOW,3.02,2.99,2.94,399,"['Delivery operations information system DOIS', 'Electronic medical record EMR software', 'StataCorp Stata', 'HVAC tools software', 'Evernote']",PowerPoint Presentations,1 week,"Delivery operations information system DOIS, Electronic medical record EMR software, StataCorp Stata"
110,IT,Developer,33,Other,13,77857,4,0.1092,LOW,3.02,2.99,2.94,2492,"['Oxford Reference Online', 'Microsoft Power BI', 'XML Path Language XPATH', 'Teradata Active Enterprise Data Warehouse', 'BitWizard B.V. mtr']",Git Version Control,1 week,"Oxford Reference Online, Microsoft Power BI, XML Path Language XPATH"
111,Support,Helpdesk,53,Male,4,50520,3,0.5281,MEDIUM,3.02,2.99,2.94,399,"['Delivery operations information system DOIS', 'Electronic medical record EMR software', 'StataCorp Stata', 'HVAC tools software', 'Evernote']",PowerPoint Presentations,1 week,"Delivery operations information system DOIS, Electronic medical record EMR software, StataCorp Stata"
112,IT,Engineer,49,Male,15,113247,1,0.7388,HIGH,3.02,2.99,2.94,2492,"['Oxford Reference Online', 'Microsoft Power BI', 'XML Path Language XPATH', 'Teradata Active Enterprise Data Warehouse', 'BitWizard B.V. mtr']",Google Analytics Certification,3 weeks,"Oxford Reference Online, Microsoft Power BI, XML Path Language XPATH"
113,IT,Developer,39,Male,11,74074,3,0.3248,MEDIUM,3.02,2.99,2.94,2493,"['Oxford Reference Online', 'Microsoft Power BI', 'XML Path Language XPATH', 'Teradata Active Enterprise Data Warehouse', 'BitWizard B.V. mtr']",Google Analytics Certification,3 weeks,"Oxford Reference Online, Microsoft Power BI, XML Path Language XPATH"
114,Support,Helpdesk,59,Male,2,152599,4,0.4858,MEDIUM,3.02,2.99,2.94,399,"['Delivery operations information system DOIS', 'Electronic medical record EMR software', 'StataCorp Stata', 'HVAC tools software', 'Evernote']",PowerPoint Presentations,1 week,"Delivery operations information system DOIS, Electronic medical record EMR software, StataCorp Stata"
115,Sales,Account Manager,33,Male,3,156093,3,0.0359,LOW,3.02,2.99,2.94,669,"['Astute Solutions PowerCenter', 'MI-Assistant MI Management System', 'General Magic Portico', 'Sawtooth SSI Web', 'Electronic medical record EMR software']",PowerPoint Presentations,1 week,"Astute Solutions PowerCenter, MI-Assistant MI Management System, General Magic Portico"
116,Support,Helpdesk,22,Other,15,153900,3,0.0847,LOW,3.02,2.99,2.94,400,"['Delivery operations information system DOIS', 'Electronic medical record EMR software', 'StataCorp Stata', 'HVAC tools software', 'Evernote']",PowerPoint Presentations,1 week,"Delivery operations information system DOIS, Electronic medical record EMR software, StataCorp Stata"
117,Marketing,SEO Analyst,43,Other,13,168316,2,0.5527,MEDIUM,3.02,2.99,2.94,176,"['Oracle Java', 'Video production software', 'Mentimeter', 'JavaScript', 'Marketo Marketing Automation']",PowerPoint Presentations,1 week,"Oracle Java, Video production software, Mentimeter"
118,HR,HR Executive,52,Female,12,31840,2,0.7355,HIGH,3.02,2.99,2.94,398,"['Bond International Software Bond StaffSuite', 'SAP ERP Human Capital Management', 'Google Calendar', 'Mentimeter', 'Cluen executive recruitment software']",PowerPoint Presentations,1 week,"Bond International Software Bond StaffSuite, SAP ERP Human Capital Management, Google Calendar"
119,Finance,Auditor,31,Female,3,44728,3,0.0747,LOW,3.02,2.99,2.94,1432,"['Microsoft Power BI', 'Brihzon Solutions SMART Dairy Resource Planning', 'TechHackers Swap @nalyst', 'Unger Software Methusaleh', 'Computer integrated manufacturing CIM software']",Git Version Control,1 week,"Microsoft Power BI, Brihzon Solutions SMART Dairy Resource Planning, TechHackers Swap @nalyst"
120,Sales,Sales Executive,59,Other,15,144337,3,0.6298,HIGH,3.02,2.99,2.94,670,"['Astute Solutions PowerCenter', 'MI-Assistant MI Management System', 'General Magic Portico', 'Sawtooth SSI Web', 'Electronic medical record EMR software']",PowerPoint Presentations,1 week,"Astute Solutions PowerCenter, MI-Assistant MI Management System, General Magic Portico"
121,IT,Developer,45,Male,12,78575,2,0.717,HIGH,3.02,2.99,2.94,2492,"['Oxford Reference Online', 'Microsoft Power BI', 'XML Path Language XPATH', 'Teradata Active Enterprise Data Warehouse', 'BitWizard B.V. mtr']",Git Version Control,1 week,"Oxford Reference Online, Microsoft Power BI, XML Path Language XPATH"
122,Support,Support Engineer,59,Male,11,121058,3,0.0408,LOW,3.02,2.99,2.94,399,"['Delivery operations information system DOIS', 'Electronic medical record EMR software', 'StataCorp Stata', 'HVAC tools software', 'Evernote']",PowerPoint Presentations,1 week,"Delivery operations information system DOIS, Electronic medical record EMR software, StataCorp Stata"
123,Finance,Auditor,49,Female,7,151344,4,0.2715,LOW,3.02,2.99,2.94,1433,"['Microsoft Power BI', 'Brihzon Solutions SMART Dairy Resource Planning', 'TechHackers Swap @nalyst', 'Unger Software Methusaleh', 'Computer integrated manufacturing CIM software']",Git Version Control,1 week,"Microsoft Power BI, Brihzon Solutions SMART Dairy Resource Planning, TechHackers Swap @nalyst"
124,IT,Engineer,44,Female,3,67225,3,0.0479,LOW,3.02,2.99,2.94,2494,"['Oxford Reference Online', 'Microsoft Power BI', 'XML Path Language XPATH', 'Teradata Active Enterprise Data Warehouse', 'BitWizard B.V. mtr']",Git Version Control,1 week,"Oxford Reference Online, Microsoft Power BI, XML Path Language XPATH"
125,Finance,Accountant,22,Female,10,172135,4,0.0726,LOW,3.02,2.99,2.94,1433,"['Microsoft Power BI', 'Brihzon Solutions SMART Dairy Resource Planning', 'TechHackers Swap @nalyst', 'Unger Software Methusaleh', 'Computer integrated manufacturing CIM software']",Git Version Control,1 week,"Microsoft Power BI, Brihzon Solutions SMART Dairy Resource Planning, TechHackers Swap @nalyst"
126,IT,Developer,60,Male,8,91931,3,0.0712,LOW,3.02,2.99,2.94,2494,"['Oxford Reference Online', 'Microsoft Power BI', 'XML Path Language XPATH', 'Teradata Active Enterprise Data Warehouse', 'BitWizard B.V. mtr']",Git Version Control,1 week,"Oxford Reference Online, Microsoft Power BI, XML Path Language XPATH"
127,Sales,Sales Executive,25,Female,14,89066,3,0.119,LOW,3.02,2.99,2.94,670,"['Astute Solutions PowerCenter', 'MI-Assistant MI Management System', 'General Magic Portico', 'Sawtooth SSI Web', 'Electronic medical record EMR software']",PowerPoint Presentations,1 week,"Astute Solutions PowerCenter, MI-Assistant MI Management System, General Magic Portico"
128,HR,HR Executive,47,Other,5,72561,3,0.655,HIGH,3.02,2.99,2.94,398,"['Bond International Software Bond StaffSuite', 'SAP ERP Human Capital Management', 'Google Calendar', 'Mentimeter', 'Cluen executive recruitment software']",PowerPoint Presentations,1 week,"Bond International Software Bond StaffSuite, SAP ERP Human Capital Management, Google Calendar"
129,Support,Support Engineer,56,Female,8,68809,4,0.473,MEDIUM,3.02,2.99,2.94,399,"['Delivery operations information system DOIS', 'Electronic medical record EMR software', 'StataCorp Stata', 'HVAC tools software', 'Evernote']",PowerPoint Presentations,1 week,"Delivery operations information system DOIS, Electronic medical record EMR software, StataCorp Stata"
130,IT,Tester,35,Female,7,93279,5,0.0551,LOW,3.02,2.99,2.94,2493,"['Oxford Reference Online', 'Microsoft Power BI', 'XML Path Language XPATH', 'Teradata Active Enterprise Data Warehouse', 'BitWizard B.V. mtr']",Google Analytics Certification,3 weeks,"Oxford Reference Online, Microsoft Power BI, XML Path Language XPATH"
131,Support,Helpdesk,27,Female,10,55650,3,0.0292,LOW,3.02,2.99,2.94,400,"['Delivery operations information system DOIS', 'Electronic medical record EMR software', 'StataCorp Stata', 'HVAC tools software', 'Evernote']",PowerPoint Presentations,1 week,"Delivery operations information system DOIS, Electronic medical record EMR software, StataCorp Stata"
132,HR,HR Executive,59,Other,7,74552,5,0.0704,LOW,3.02,2.99,2.94,396,"['Bond International Software Bond StaffSuite', 'SAP ERP Human Capital Management', 'Google Calendar', 'Mentimeter', 'Cluen executive recruitment software']",PowerPoint Presentations,1 week,"Bond International Software Bond StaffSuite, SAP ERP Human Capital Management, Google Calendar"
133,Finance,Auditor,55,Other,6,145869,5,0.3174,MEDIUM,3.02,2.99,2.94,1434,"['Microsoft Power BI', 'Brihzon Solutions SMART Dairy Resource Planning', 'TechHackers Swap @nalyst', 'Unger Software Methusaleh', 'Computer integrated manufacturing CIM software']",Git Version Control,1 week,"Microsoft Power BI, Brihzon Solutions SMART Dairy Resource Planning, TechHackers Swap @nalyst"
134,HR,HR Manager,45,Male,11,148129,3,0.0966,LOW,3.02,2.99,2.94,396,"['Bond International Software Bond StaffSuite', 'SAP ERP Human Capital Management', 'Google Calendar', 'Mentimeter', 'Cluen executive recruitment software']",PowerPoint Presentations,1 week,"Bond International Software Bond StaffSuite, SAP ERP Human Capital Management, Google Calendar"
135,Marketing,Content Lead,38,Female,14,44652,3,0.0534,LOW,3.02,2.99,2.94,175,"['Oracle Java', 'Video production software', 'Mentimeter', 'JavaScript', 'Microsoft Excel']",PowerPoint Presentations,1 week,"Oracle Java, Video production software, Mentimeter"
136,Marketing,SEO Analyst,39,Male,2,178756,5,0.4933,MEDIUM,3.02,2.99,2.94,176,"['Oracle Java', 'Video production software', 'Mentimeter', 'JavaScript', 'Microsoft Excel']",PowerPoint Presentations,1 week,"Oracle Java, Video production software, Mentimeter"
137,Finance,Auditor,56,Female,9,110538,3,0.3803,MEDIUM,3.02,2.99,2.94,1433,"['Microsoft Power BI', 'Brihzon Solutions SMART Dairy Resource Planning', 'TechHackers Swap @nalyst', 'Unger Software Methusaleh', 'Computer integrated manufacturing CIM software']",Git Version Control,1 week,"Microsoft Power BI, Brihzon Solutions SMART Dairy Resource Planning, TechHackers Swap @nalyst"
138,IT,Engineer,40,Female,12,39286,4,0.2173,LOW,3.02,2.99,2.94,2494,"['Oxford Reference Online', 'Microsoft Power BI', 'XML Path Language XPATH', 'Teradata Active Enterprise Data Warehouse', 'BitWizard B.V. mtr']",Git Version Control,1 week,"Oxford Reference Online, Microsoft Power BI, XML Path Language XPATH"
139,IT,Developer,30,Male,4,55595,4,0.0782,LOW,3.02,2.99,2.94,2493,"['Oxford Reference Online', 'Microsoft Power BI', 'XML Path Language XPATH', 'Teradata Active Enterprise Data Warehouse', 'BitWizard B.V. mtr']",Git Version Control,1 week,"Oxford Reference Online, Microsoft Power BI, XML Path Language XPATH"
140,Sales,Account Manager,56,Other,3,168010,5,0.4909,MEDIUM,3.02,2.99,2.94,671,"['Astute Solutions PowerCenter', 'MI-Assistant MI Management System', 'General Magic Portico', 'Sawtooth SSI Web', 'Electronic medical record EMR software']",PowerPoint Presentations,1 week,"Astute Solutions PowerCenter, MI-Assistant MI Management System, General Magic Portico"
141,IT,Tester,50,Other,10,71526,2,0.7561,HIGH,3.02,2.99,2.94,2493,"['Oxford Reference Online', 'Microsoft Power BI', 'XML Path Language XPATH', 'Teradata Active Enterprise Data Warehouse', 'BitWizard B.V. mtr']",Google Analytics Certification,3 weeks,"Oxford Reference Online, Microsoft Power BI, XML Path Language XPATH"
142,Sales,Account Manager,23,Male,7,152981,4,0.0538,LOW,3.02,2.99,2.94,669,"['Astute Solutions PowerCenter', 'MI-Assistant MI Management System', 'General Magic Portico', 'Sawtooth SSI Web', 'Electronic medical record EMR software']",PowerPoint Presentations,1 week,"Astute Solutions PowerCenter, MI-Assistant MI Management System, General Magic Portico"
143,Support,Helpdesk,51,Other,6,60483,3,0.1846,LOW,3.02,2.99,2.94,401,"['Delivery operations information system DOIS', 'Electronic medical record EMR software', 'StataCorp Stata', 'HVAC tools software', 'Evernote']",PowerPoint Presentations,1 week,"Delivery operations information system DOIS, Electronic medical record EMR software, StataCorp Stata"
144,Sales,Account Manager,53,Other,4,37564,3,0.0548,LOW,3.02,2.99,2.94,670,"['Astute Solutions PowerCenter', 'MI-Assistant MI Management System', 'General Magic Portico', 'Sawtooth SSI Web', 'Electronic medical record EMR software']",PowerPoint Presentations,1 week,"Astute Solutions PowerCenter, MI-Assistant MI Management System, General Magic Portico"
145,Support,Support Engineer,52,Male,4,103473,3,0.0409,LOW,3.02,2.99,2.94,400,"['Delivery operations information system DOIS', 'Electronic medical record EMR software', 'StataCorp Stata', 'HVAC tools software', 'Evernote']",PowerPoint Presentations,1 week,"Delivery operations information system DOIS, Electronic medical record EMR software, StataCorp Stata"
146,HR,HR Manager,43,Male,14,98618,3,0.0415,LOW,3.02,2.99,2.94,396,"['Bond International Software Bond StaffSuite', 'SAP ERP Human Capital Management', 'Google Calendar', 'Mentimeter', 'Cluen executive recruitment software']",PowerPoint Presentations,1 week,"Bond International Software Bond StaffSuite, SAP ERP Human Capital Management, Google Calendar"
147,Sales,Account Manager,28,Other,10,69768,4,0.2603,LOW,3.02,2.99,2.94,670,"['Astute Solutions PowerCenter', 'MI-Assistant MI Management System', 'General Magic Portico', 'Sawtooth SSI Web', 'Electronic medical record EMR software']",PowerPoint Presentations,1 week,"Astute Solutions PowerCenter, MI-Assistant MI Management System, General Magic Portico"
148,Sales,Account Manager,32,Other,11,124262,4,0.1595,LOW,3.02,2.99,2.94,670,"['Astute Solutions PowerCenter', 'MI-Assistant MI Management System', 'General Magic Portico', 'Sawtooth SSI Web', 'Electronic medical record EMR software']",PowerPoint Presentations,1 week,"Astute Solutions PowerCenter, MI-Assistant MI Management System, General Magic Portico"
149,Support,Support Engineer,48,Female,11,31181,3,0.2756,LOW,3.02,2.99,2.94,401,"['Delivery operations information system DOIS', 'Electronic medical record EMR software', 'StataCorp Stata', 'HVAC tools software', 'Evernote']",PowerPoint Presentations,1 week,"Delivery operations information system DOIS, Electronic medical record EMR software, StataCorp Stata"
150,Marketing,Content Lead,48,Male,10,139956,3,0.4716,MEDIUM,3.02,2.99,2.94,174,"['Oracle Java', 'Video production software', 'Mentimeter', 'JavaScript', 'Marketo Marketing Automation']",PowerPoint Presentations,1 week,"Oracle Java, Video production software, Mentimeter"
151,HR,HR Executive,34,Other,6,53489,3,0.527,MEDIUM,3.02,2.99,2.94,397,"['Bond International Software Bond StaffSuite', 'SAP ERP Human Capital Management', 'Google Calendar', 'Mentimeter', 'Cluen executive recruitment software']",PowerPoint Presentations,1 week,"Bond International Software Bond StaffSuite, SAP ERP Human Capital Management, Google Calendar"
152,Sales,Account Manager,34,Other,5,123313,4,0.122,LOW,3.02,2.99,2.94,669,"['Astute Solutions PowerCenter', 'MI-Assistant MI Management System', 'General Magic Portico', 'Sawtooth SSI Web', 'Electronic medical record EMR software']",PowerPoint Presentations,1 week,"Astute Solutions PowerCenter, MI-Assistant MI Management System, General Magic Portico"
153,IT,Tester,52,Other,4,34410,4,0.1039,LOW,3.02,2.99,2.94,2492,"['Oxford Reference Online', 'Microsoft Power BI', 'XML Path Language XPATH', 'Teradata Active Enterprise Data Warehouse', 'BitWizard B.V. mtr']",Git Version Control,1 week,"Oxford Reference Online, Microsoft Power BI, XML Path Language XPATH"
154,Marketing,SEO Analyst,54,Male,9,35504,4,0.3808,MEDIUM,3.02,2.99,2.94,175,"['Oracle Java', 'Video production software', 'Mentimeter', 'JavaScript', 'Marketo Marketing Automation']",PowerPoint Presentations,1 week,"Oracle Java, Video production software, Mentimeter"
155,HR,HR Executive,41,Other,8,47809,4,0.6344,HIGH,3.02,2.99,2.94,396,"['Bond International Software Bond StaffSuite', 'SAP ERP Human Capital Management', 'Google Calendar', 'Mentimeter', 'Cluen executive recruitment software']",PowerPoint Presentations,1 week,"Bond International Software Bond StaffSuite, SAP ERP Human Capital Management, Google Calendar"
156,IT,Developer,33,Male,2,152793,3,0.6064,HIGH,3.02,2.99,2.94,2495,"['Oxford Reference Online', 'Microsoft Power BI', 'XML Path Language XPATH', 'Teradata Active Enterprise Data Warehouse', 'BitWizard B.V. mtr']",Git Version Control,1 week,"Oxford Reference Online, Microsoft Power BI, XML Path Language XPATH"
157,HR,HR Executive,51,Male,8,144222,4,0.62,HIGH,3.02,2.99,2.94,396,"['Bond International Software Bond StaffSuite', 'SAP ERP Human Capital Management', 'Google Calendar', 'Mentimeter', 'Cluen executive recruitment software']",PowerPoint Presentations,1 week,"Bond International Software Bond StaffSuite, SAP ERP Human Capital Management, Google Calendar"
158,Marketing,Content Lead,55,Female,7,122095,4,0.0181,LOW,3.02,2.99,2.94,176,"['Oracle Java', 'Video production software', 'Mentimeter', 'JavaScript', 'Microsoft Excel']",PowerPoint Presentations,1 week,"Oracle Java, Video production software, Mentimeter"
159,Support,Support Engineer,60,Other,13,176852,5,0.1332,LOW,3.02,2.99,2.94,400,"['Delivery operations information system DOIS', 'Electronic medical record EMR software', 'StataCorp Stata', 'HVAC tools software', 'Evernote']",PowerPoint Presentations,1 week,"Delivery operations information system DOIS, Electronic medical record EMR software, StataCorp Stata"
160,Sales,Sales Executive,51,Male,15,138076,3,0.0818,LOW,3.02,2.99,2.94,670,"['Astute Solutions PowerCenter', 'MI-Assistant MI Management System', 'General Magic Portico', 'Sawtooth SSI Web', 'Electronic medical record EMR software']",PowerPoint Presentations,1 week,"Astute Solutions PowerCenter, MI-Assistant MI Management System, General Magic Portico"
161,Support,Helpdesk,53,Male,2,166057,3,0.5675,MEDIUM,3.02,2.99,2.94,400,"['Delivery operations information system DOIS', 'Electronic medical record EMR software', 'StataCorp Stata', 'HVAC tools software', 'Evernote']",PowerPoint Presentations,1 week,"Delivery operations information system DOIS, Electronic medical record EMR software, StataCorp Stata"
162,Finance,Accountant,35,Female,4,81547,4,0.6874,HIGH,3.02,2.99,2.94,1432,"['Microsoft Power BI', 'Brihzon Solutions SMART Dairy Resource Planning', 'TechHackers Swap @nalyst', 'Unger Software Methusaleh', 'Computer integrated manufacturing CIM software']",Git Version Control,1 week,"Microsoft Power BI, Brihzon Solutions SMART Dairy Resource Planning, TechHackers Swap @nalyst"
163,HR,HR Executive,47,Female,8,78148,5,0.0337,LOW,3.02,2.99,2.94,398,"['Bond International Software Bond StaffSuite', 'SAP ERP Human Capital Management', 'Google Calendar', 'Mentimeter', 'Cluen executive recruitment software']",PowerPoint Presentations,1 week,"Bond International Software Bond StaffSuite, SAP ERP Human Capital Management, Google Calendar"
164,HR,HR Manager,25,Female,5,57534,3,0.4014,MEDIUM,3.02,2.99,2.94,397,"['Bond International Software Bond StaffSuite', 'SAP ERP Human Capital Management', 'Google Calendar', 'Mentimeter', 'Cluen executive recruitment software']",PowerPoint Presentations,1 week,"Bond International Software Bond StaffSuite, SAP ERP Human Capital Management, Google Calendar"
165,IT,Tester,60,Other,15,77413,2,0.3874,MEDIUM,3.02,2.99,2.94,2494,"['Oxford Reference Online', 'Microsoft Power BI', 'XML Path Language XPATH', 'Teradata Active Enterprise Data Warehouse', 'BitWizard B.V. mtr']",Git Version Control,1 week,"Oxford Reference Online, Microsoft Power BI, XML Path Language XPATH"
166,IT,Tester,31,Female,2,143831,3,0.0487,LOW,3.02,2.99,2.94,2492,"['Oxford Reference Online', 'Microsoft Power BI', 'XML Path Language XPATH', 'Teradata Active Enterprise Data Warehouse', 'BitWizard B.V. mtr']",Git Version Control,1 week,"Oxford Reference Online, Microsoft Power BI, XML Path Language XPATH"
167,HR,HR Manager,28,Female,3,126163,3,0.0307,LOW,3.02,2.99,2.94,397,"['Bond International Software Bond StaffSuite', 'SAP ERP Human Capital Management', 'Google Calendar', 'Mentimeter', 'Cluen executive recruitment software']",PowerPoint Presentations,1 week,"Bond International Software Bond StaffSuite, SAP ERP Human Capital Management, Google Calendar"
